"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27"
"Codes:
    ISO
ISO 3166 codes (2-letter, 3-letter and 3-digit codes from ISO 3166-1; 2+2-letter codes from ISO 3166-2)
    ANSI
2-letter and 2-digit codes from the ANSI standard INCITS 38:2009
    USPS
2-letter codes used by the United States Postal Service
    USCG
2-letter codes used by the United States Coast Guard (red text shows differences between ANSI and USCG)
Abbreviations:
    GPO
Older variable-length official US Government Printing Office abbreviations
    AP
Abbreviations from the AP Stylebook (red text shows differences between GPO and AP)","Codes:
    ISO
ISO 3166 codes (2-letter, 3-letter and 3-digit codes from ISO 3166-1; 2+2-letter codes from ISO 3166-2)
    ANSI
2-letter and 2-digit codes from the ANSI standard INCITS 38:2009
    USPS
2-letter codes used by the United States Postal Service
    USCG
2-letter codes used by the United States Coast Guard (red text shows differences between ANSI and USCG)
Abbreviations:
    GPO
Older variable-length official US Government Printing Office abbreviations
    AP
Abbreviations from the AP Stylebook (red text shows differences between GPO and AP)","Codes:
    ISO
ISO 3166 codes (2-letter, 3-letter and 3-digit codes from ISO 3166-1; 2+2-letter codes from ISO 3166-2)
    ANSI
2-letter and 2-digit codes from the ANSI standard INCITS 38:2009
    USPS
2-letter codes used by the United States Postal Service
    USCG
2-letter codes used by the United States Coast Guard (red text shows differences between ANSI and USCG)
Abbreviations:
    GPO
Older variable-length official US Government Printing Office abbreviations
    AP
Abbreviations from the AP Stylebook (red text shows differences between GPO and AP)","Codes:
    ISO
ISO 3166 codes (2-letter, 3-letter and 3-digit codes from ISO 3166-1; 2+2-letter codes from ISO 3166-2)
    ANSI
2-letter and 2-digit codes from the ANSI standard INCITS 38:2009
    USPS
2-letter codes used by the United States Postal Service
    USCG
2-letter codes used by the United States Coast Guard (red text shows differences between ANSI and USCG)
Abbreviations:
    GPO
Older variable-length official US Government Printing Office abbreviations
    AP
Abbreviations from the AP Stylebook (red text shows differences between GPO and AP)","Codes:
    ISO
ISO 3166 codes (2-letter, 3-letter and 3-digit codes from ISO 3166-1; 2+2-letter codes from ISO 3166-2)
    ANSI
2-letter and 2-digit codes from the ANSI standard INCITS 38:2009
    USPS
2-letter codes used by the United States Postal Service
    USCG
2-letter codes used by the United States Coast Guard (red text shows differences between ANSI and USCG)
Abbreviations:
    GPO
Older variable-length official US Government Printing Office abbreviations
    AP
Abbreviations from the AP Stylebook (red text shows differences between GPO and AP)","Codes:
    ISO
ISO 3166 codes (2-letter, 3-letter and 3-digit codes from ISO 3166-1; 2+2-letter codes from ISO 3166-2)
    ANSI
2-letter and 2-digit codes from the ANSI standard INCITS 38:2009
    USPS
2-letter codes used by the United States Postal Service
    USCG
2-letter codes used by the United States Coast Guard (red text shows differences between ANSI and USCG)
Abbreviations:
    GPO
Older variable-length official US Government Printing Office abbreviations
    AP
Abbreviations from the AP Stylebook (red text shows differences between GPO and AP)","Codes:
    ISO
ISO 3166 codes (2-letter, 3-letter and 3-digit codes from ISO 3166-1; 2+2-letter codes from ISO 3166-2)
    ANSI
2-letter and 2-digit codes from the ANSI standard INCITS 38:2009
    USPS
2-letter codes used by the United States Postal Service
    USCG
2-letter codes used by the United States Coast Guard (red text shows differences between ANSI and USCG)
Abbreviations:
    GPO
Older variable-length official US Government Printing Office abbreviations
    AP
Abbreviations from the AP Stylebook (red text shows differences between GPO and AP)","Codes:
    ISO
ISO 3166 codes (2-letter, 3-letter and 3-digit codes from ISO 3166-1; 2+2-letter codes from ISO 3166-2)
    ANSI
2-letter and 2-digit codes from the ANSI standard INCITS 38:2009
    USPS
2-letter codes used by the United States Postal Service
    USCG
2-letter codes used by the United States Coast Guard (red text shows differences between ANSI and USCG)
Abbreviations:
    GPO
Older variable-length official US Government Printing Office abbreviations
    AP
Abbreviations from the AP Stylebook (red text shows differences between GPO and AP)","Codes:
    ISO
ISO 3166 codes (2-letter, 3-letter and 3-digit codes from ISO 3166-1; 2+2-letter codes from ISO 3166-2)
    ANSI
2-letter and 2-digit codes from the ANSI standard INCITS 38:2009
    USPS
2-letter codes used by the United States Postal Service
    USCG
2-letter codes used by the United States Coast Guard (red text shows differences between ANSI and USCG)
Abbreviations:
    GPO
Older variable-length official US Government Printing Office abbreviations
    AP
Abbreviations from the AP Stylebook (red text shows differences between GPO and AP)","Codes:
    ISO
ISO 3166 codes (2-letter, 3-letter and 3-digit codes from ISO 3166-1; 2+2-letter codes from ISO 3166-2)
    ANSI
2-letter and 2-digit codes from the ANSI standard INCITS 38:2009
    USPS
2-letter codes used by the United States Postal Service
    USCG
2-letter codes used by the United States Coast Guard (red text shows differences between ANSI and USCG)
Abbreviations:
    GPO
Older variable-length official US Government Printing Office abbreviations
    AP
Abbreviations from the AP Stylebook (red text shows differences between GPO and AP)","Codes:","Codes:","ISO","ISO 3166 codes (2-letter, 3-letter and 3-digit codes from ISO 3166-1; 2+2-letter codes from ISO 3166-2)","ANSI","2-letter and 2-digit codes from the ANSI standard INCITS 38:2009","USPS","2-letter codes used by the United States Postal Service","USCG","2-letter codes used by the United States Coast Guard (red text shows differences between ANSI and USCG)","Abbreviations:","Abbreviations:","GPO","Older variable-length official US Government Printing Office abbreviations","AP","Abbreviations from the AP Stylebook (red text shows differences between GPO and AP)","Abbreviations from the AP Stylebook (red text shows differences between GPO and AP)"
"Codes:","Codes:",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ISO","ISO 3166 codes (2-letter, 3-letter and 3-digit codes from ISO 3166-1; 2+2-letter codes from ISO 3166-2)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ANSI","2-letter and 2-digit codes from the ANSI standard INCITS 38:2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USPS","2-letter codes used by the United States Postal Service",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USCG","2-letter codes used by the United States Coast Guard (red text shows differences between ANSI and USCG)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Abbreviations:","Abbreviations:",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GPO","Older variable-length official US Government Printing Office abbreviations",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AP","Abbreviations from the AP Stylebook (red text shows differences between GPO and AP)","Abbreviations from the AP Stylebook (red text shows differences between GPO and AP)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Name and status of region","Name and status of region","ISO","ANSI","ANSI","USPS","USCG","GPO","AP","Other
abbreviations",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"","","","","","USPS","USCG","GPO","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"United States of America","Federal state","US
USA
840","US","00","","","U.S.","U.S.","U.S.A.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alabama","State","US-AL","AL","01","AL","AL","Ala.","Ala.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alaska","State","US-AK","AK","02","AK","AK","Alaska","Alaska","Alas.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arizona","State","US-AZ","AZ","04","AZ","AZ","Ariz.","Ariz.","Az.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arkansas","State","US-AR","AR","05","AR","AR","Ark.","Ark.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"California","State","US-CA","CA","06","CA","CF","Calif.","Calif.","Ca., Cal.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Colorado","State","US-CO","CO","08","CO","CL","Colo.","Colo.","Col.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Connecticut","State","US-CT","CT","09","CT","CT","Conn.","Conn.","Ct.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Delaware","State","US-DE","DE","10","DE","DL","Del.","Del.","De.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"District of Columbia","Federal district","US-DC","DC","11","DC","DC","D.C.","D.C.","Wash. D.C.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Florida","State","US-FL","FL","12","FL","FL","Fla.","Fla.","Fl., Flor.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Georgia","State","US-GA","GA","13","GA","GA","Ga.","Ga.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hawaii","State","US-HI","HI","15","HI","HA","Hawaii","Hawaii","H.I.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Idaho","State","US-ID","ID","16","ID","ID","Idaho","Idaho","Id., Ida.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Illinois","State","US-IL","IL","17","IL","IL","Ill.","Ill.","Il., Ills., Ill's",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Indiana","State","US-IN","IN","18","IN","IN","Ind.","Ind.","In.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Iowa","State","US-IA","IA","19","IA","IA","Iowa","Iowa","Ia., Ioa.[1]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kansas","State","US-KS","KS","20","KS","KA","Kans.","Kan.","Ks., Ka.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kentucky","State (Commonwealth)","US-KY","KY","21","KY","KY","Ky.","Ky.","Ken., Kent.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Louisiana","State","US-LA","LA","22","LA","LA","La.","La.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Maine","State","US-ME","ME","23","ME","ME","Maine","Maine","Me.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Maryland","State","US-MD","MD","24","MD","MD","Md.","Md.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Massachusetts","State (Commonwealth)","US-MA","MA","25","MA","MS","Mass.","Mass.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Michigan","State","US-MI","MI","26","MI","MC","Mich.","Mich.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Minnesota","State","US-MN","MN","27","MN","MN","Minn.","Minn.","Mn.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mississippi","State","US-MS","MS","28","MS","MI","Miss.","Miss.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Missouri","State","US-MO","MO","29","MO","MO","Mo.","Mo.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Montana","State","US-MT","MT","30","MT","MT","Mont.","Mont.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nebraska","State","US-NE","NE","31","NE","NB","Nebr.","Neb.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nevada","State","US-NV","NV","32","NV","NV","Nev.","Nev.","Nv.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"New Hampshire","State","US-NH","NH","33","NH","NH","N.H.","N.H.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"New Jersey","State","US-NJ","NJ","34","NJ","NJ","N.J.","N.J.","N.Jersey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"New Mexico","State","US-NM","NM","35","NM","NM","N. Mex.","N.M.","New M.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"New York","State","US-NY","NY","36","NY","NY","N.Y.","N.Y.","N. York",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"North Carolina","State","US-NC","NC","37","NC","NC","N.C.","N.C.","N. Car.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"North Dakota","State","US-ND","ND","38","ND","ND","N. Dak.","N.D.","NoDak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ohio","State","US-OH","OH","39","OH","OH","Ohio","Ohio","O., Oh.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Oklahoma","State","US-OK","OK","40","OK","OK","Okla.","Okla.","Ok.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Oregon","State","US-OR","OR","41","OR","OR","Oreg.","Ore.","Or.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pennsylvania","State (Commonwealth)","US-PA","PA","42","PA","PA","Pa.","Pa.","Penn., Penna.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rhode Island","State","US-RI","RI","44","RI","RI","R.I.","R.I.","R.I. & P.P., R. Isl.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"South Carolina","State","US-SC","SC","45","SC","SC","S.C.","S.C.","S. Car.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"South Dakota","State","US-SD","SD","46","SD","SD","S. Dak.","S.D.","SoDak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tennessee","State","US-TN","TN","47","TN","TN","Tenn.","Tenn.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Texas","State","US-TX","TX","48","TX","TX","Tex.","Texas","Tx.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Utah","State","US-UT","UT","49","UT","UT","Utah","Utah","Ut.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Vermont","State","US-VT","VT","50","VT","VT","Vt.","Vt.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Virginia","State (Commonwealth)","US-VA","VA","51","VA","VA","Va.","Va.","Virg.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Washington","State","US-WA","WA","53","WA","WN","Wash.","Wash.","Wa., Wn.[2]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"West Virginia","State","US-WV","WV","54","WV","WV","W. Va.","W.Va.","W.V., W. Virg.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wisconsin","State","US-WI","WI","55","WI","WS","Wis.","Wis.","Wi., Wisc.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wyoming","State","US-WY","WY","56","WY","WY","Wyo.","Wyo.","Wy.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"American Samoa","Insular area (Territory)","AS
ASM
016
US-AS","AS","60","AS","AS","A.S.","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Guam","Insular area (Territory)","GU
GUM
316
US-GU","GU","66","GU","GU","Guam","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Northern Mariana Islands","Insular area (Commonwealth)","MP
MNP
580
US-MP","MP","69","MP","CM","M.P.","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Puerto Rico","Insular area (Territory)","PR
PRI
630
US-PR","PR","72","PR","PR","P.R.","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"U.S. Virgin Islands","Insular area (Territory)","VI
VIR
850
US-VI","VI","78","VI","VI","V.I.","","U.S.V.I.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"U.S. Minor Outlying Islands","Insular areas","UM
UMI
581
US-UM","UM","74","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Baker Island","island","UM-81","","81","","","","","XB[3]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Howland Island","island","UM-84","","84","","","","","XH[3]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jarvis Island","island","UM-86","","86","","","","","XQ[3]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Johnston Atoll","atoll","UM-67","","67","","","","","XU[3]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kingman Reef","atoll","UM-89","","89","","","","","XM[3]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Midway Islands","atoll","UM-71","","71","","","","","QM[3]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Navassa Island","island","UM-76","","76","","","","","XV[3]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Palmyra Atoll[4]","atoll[4]","UM-95","","95","","","","","XL[3]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wake Island","atoll","UM-79","","79","","","","","QW[3]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Micronesia","Freely associated state","FM
FSM
583","FM","64","FM","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Marshall Islands","Freely associated state","MH
MHL
584","MH","68","MH","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Palau","Freely associated state","PW
PLW
585","PW","70","PW","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"U.S. Armed Forces – Americas[5]","US military mail code","","","","AA","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"U.S. Armed Forces – Europe[6]","US military mail code","","","","AE","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"U.S. Armed Forces – Pacific[7]","US military mail code","","","","AP","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Northern Mariana Islands","Obsolete postal code[8]","","","","CM","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Panama Canal Zone","Obsolete postal code","PZ
PCZ
594","","","CZ","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nebraska","Obsolete postal code[9]","","","","NB","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Philippine Islands","Obsolete postal code","PH
PHL
608[10]","","","PI","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Trust Territory of the Pacific Islands","Obsolete postal code","PC
PCI
582","","","TT","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
